arm,seed,paired_steps,mean_raw_entropy_difference,mean_g_difference
M1,1835086229,169,-0.4688993532768326,2.2658522669320558
M1,1835086230,159,-0.44007710849188464,1.1497922539218337
M1,1835086231,188,-0.506206872740729,1.2130282204562872
M1,1835086232,184,-0.47675799958241954,3.73657448583014
M1,1835086233,231,-0.5448356138074862,0.9595826544360456
M1,1835086234,194,-0.5144274946910317,1.4106432368637278
M1,1835086235,170,-0.4637384840464819,2.28881267697859
M1,1835086236,172,-0.491542755239877,1.21154981518337
M1,1835086237,192,-0.5457686121589679,1.0279743806379327
M1,1835086238,229,-0.5809234166777708,2.368413239817007
M2,1835086199,140,-0.5549427184394484,1.3795133527169363
M2,1835086200,210,-0.6722518283221811,3.721813387499221
M2,1835086201,131,-0.5963483314731652,1.4995066296233166
M2,1835086202,149,-0.6008463061451164,7.160401490238568
M2,1835086203,125,-0.561859257285863,4.2053265513376035
M2,1835086204,182,-0.6395381582952139,1.0709443983468723
M2,1835086205,179,-0.6572900547367032,2.3063795402377187
M2,1835086206,142,-0.6424241015369909,1.407136144492928
M2,1835086207,165,-0.6482101883106107,1.2876142522161176
M2,1835086208,175,-0.6924870160624655,3.335017221756255
M2,1835086209,130,-0.573363258279174,1.5205357561316422
M2,1835086210,135,-0.6060115012020771,1.446488508885825
M2,1835086211,199,-0.6690065992268694,3.8635071397636853
M2,1835086212,186,-0.6887331946790178,6.583476921872129
M2,1835086213,150,-0.623210082622061,3.098370893297789
M2,1835086214,192,-0.6280534303109823,1.1346718905526563
M2,1835086215,197,-0.6684822813839836,1.1901955587675477
M2,1835086216,140,-0.6091141451777258,1.3525536630716846
M2,1835086217,180,-0.6195434334777177,1.243474280723074
M2,1835086218,179,-0.6655971859999079,1.1852950439330865
M2,1835086219,138,-0.5878666848992157,4.894202201998671
M2,1835086220,159,-0.6357211484432713,1.5218728929432612
M2,1835086221,141,-0.5895308474638902,1.3487547613165058
M2,1835086222,182,-0.6493918941978748,1.1018494587877232
M2,1835086223,171,-0.6127038999788058,1.1883171745153058
M2,1835086224,177,-0.6594253611569463,1.314061164240737
M2,1835086225,137,-0.5943976619795114,1.3172682072525863
M2,1835086226,173,-0.6395283008712147,4.43787126119401
M2,1835086227,172,-0.6431395197135085,1.2696068954908153
M2,1835086228,150,-0.61698795753072,9.734692225023533
M2,1835086229,214,-0.6839561764055371,4.417035111371135
M2,1835086230,203,-0.6976542094408562,7.425187913447439
M2,1835086231,170,-0.6247579580678192,3.0167850959785456
M2,1835086232,169,-0.6401655647128107,1.582843469720401
M2,1835086233,182,-0.6660853177881634,2.493874280590129
M2,1835086234,137,-0.6078944181836529,1.291927489641798
M2,1835086235,144,-0.5830635860862287,1.2145376552269975
M2,1835086236,185,-0.668036891016845,1.3691455314807184
M2,1835086237,157,-0.6207598653691262,1.2201532409759883
M2,1835086238,181,-0.6401209061024854,2.274752049864692
M4,1835086199,144,-0.6920617368296905,7.438223947057725
M4,1835086200,129,-0.6761870580156638,1.9523030503611725
M4,1835086201,171,-0.7102614498331865,1.3291232373249264
M4,1835086202,99,-0.622085266395305,1.6741985399940547
M4,1835086203,135,-0.7296526291974704,1.5745476445357844
M4,1835086204,119,-0.668341186126807,1.4236246156737768
M4,1835086205,90,-0.6810769264612584,3.5269100524287857
M4,1835086206,180,-0.7544685304115748,1.4595846964691548
M4,1835086207,134,-0.7382552040346493,8.440995484595593
M4,1835086208,221,-0.7477113112034054,1.1674861841472506
M4,1835086209,129,-0.6924272056179392,1.5253948678660365
M4,1835086210,209,-0.7211207469748967,1.1965953497639783
M4,1835086211,139,-0.6825867548868086,1.263019304893174
M4,1835086212,174,-0.739483387090193,1.373512773365593
M4,1835086213,149,-0.6852061931978662,3.603718394503827
M4,1835086214,139,-0.7153002607496478,1.4643649424395646
M4,1835086215,159,-0.7227676076268412,1.4150721927047574
M4,1835086216,136,-0.7076547660520706,3.0154056302892904
M4,1835086217,144,-0.6591392062045668,1.2318903942261932
M4,1835086218,150,-0.7001261405937996,1.3384158480829171
M4,1835086219,148,-0.6911801785804662,1.182564059581092
M4,1835086220,179,-0.7091683095016676,1.3209658559383086
M4,1835086221,158,-0.6900181115412005,1.2003878373352337
M4,1835086222,214,-0.7657286901407724,3.7944426769625874
M4,1835086223,121,-0.6945406825438541,3.1265487150770968
M4,1835086224,216,-0.7515928512664322,3.590097425405019
M4,1835086225,152,-0.6948489733296107,1.210866812517556
M4,1835086226,194,-0.7595224670036331,1.2412038905996254
M4,1835086227,105,-0.6527231505516942,2.0819414296353944
M4,1835086228,172,-0.726468709434261,3.312319942686082
M4,1835086229,106,-0.6752701013383317,3.0212156339291902
M4,1835086230,184,-0.7337179725456523,4.272697818780607
M4,1835086231,81,-0.6351085612029511,6.296222145316598
M4,1835086232,152,-0.7173809111102859,1.507558043019163
M4,1835086233,126,-0.6801584422023584,1.603724550126914
M4,1835086234,186,-0.7335925075048787,4.519845701282343
M4,1835086235,133,-0.6909328758007187,1.348174504105883
M4,1835086236,155,-0.6805945564784006,3.3453927101766228
M4,1835086237,144,-0.6999051182512451,2.4937902837348216
M4,1835086238,124,-0.6677007933926262,3.994959404550325
R02,1835086199,250,8.046632255746378e-05,0.060328169229450675
R02,1835086200,250,8.796863845967495e-05,0.062243037679663375
R02,1835086201,250,1.489894588306262e-05,0.0640391118703863
R02,1835086202,250,0.0012712941257350056,0.07628118511959886
R02,1835086203,250,-0.001344334695672841,0.07336451261309024
R02,1835086204,250,-9.177933494775913e-06,0.06592961372914007
R02,1835086205,250,0.00014420359030174003,0.04752651848145892
R02,1835086206,250,0.00021617903443289866,0.04695812622482646
R02,1835086207,250,-0.000126116774573799,0.05493964088163516
R02,1835086208,250,1.7636341234134267e-05,0.0652280684675984
R02,1835086209,250,-0.0003383814273780641,0.06142670976695363
R02,1835086210,250,-0.0012204706501256046,0.048613859505259184
R02,1835086211,250,3.107100805320373e-05,0.05233316102934404
R02,1835086212,250,-0.0024236261153737257,0.05955690596293264
R02,1835086213,250,0.0007718002534369415,0.06198581433471624
R02,1835086214,250,-0.0008673479273530416,0.04807574846436351
R02,1835086215,250,0.0013131708042446392,0.05151350007219539
R02,1835086216,250,-0.0001248165179045455,0.0792908245532892
R02,1835086217,250,0.0014879043864574949,0.04245159208203333
R02,1835086218,250,0.001205130295588377,0.04963212180755356
R02,1835086219,250,0.00032802046355516625,0.06489527368780436
R02,1835086220,250,-0.00015814539952974238,0.06070372756136282
R02,1835086221,250,0.0004631199270809372,0.04202326782292475
R02,1835086222,250,-0.0013175632356712459,0.05490070088351808
R02,1835086223,250,0.0003886066928616203,0.054582633615036256
R02,1835086224,250,1.1289165583808548e-05,0.06020770973761466
R02,1835086225,250,-0.0001638072508317152,0.04444857692932013
R02,1835086226,250,3.374905349818924e-05,0.04570254650308139
R02,1835086227,250,0.00018774652882179321,0.05919688670374866
R02,1835086228,250,-0.002362388662901113,0.07084085432996388
R02,1835086229,250,0.0001669772850544633,0.07262796116472017
R02,1835086230,250,0.00015723595674710643,0.05008463796772227
R02,1835086231,250,2.9721848463875932e-05,0.06454523851894027
R02,1835086232,250,-0.00042871647860630714,0.05757125754870178
R02,1835086233,250,0.003596649195105489,0.045731753953777037
R02,1835086234,250,-4.971171584107692e-05,0.06316810373337124
R02,1835086235,250,-0.0008218050862812017,0.061334783989370624
R02,1835086236,250,0.000981460145700051,0.05278254764057061
R02,1835086237,250,0.00019811230579341643,0.06634216635693277
R02,1835086238,250,-0.0027752423350630305,0.02885658542147406
R05,1835086199,250,6.549925748543295e-06,0.1624163217818545
R05,1835086200,250,0.001797218603127322,0.19601837312293122
R05,1835086201,250,-0.0007386560501759192,0.15976710065282335
R05,1835086202,250,0.0008566552689293583,0.1912559519694467
R05,1835086203,250,-0.002396852204500556,0.1663941918632234
R05,1835086204,250,0.0025957676984180674,0.12541213700652626
R05,1835086205,250,0.0001377168134937694,0.15307913228447875
R05,1835086206,250,0.00019357510516649867,0.1681918915236574
R05,1835086207,250,0.0010176016509818755,0.1238695110412504
R05,1835086208,250,2.4595091451527385e-05,0.17090098476663607
R05,1835086209,250,-0.0003282393663131482,0.17006398687552654
R05,1835086210,250,4.8605346696418474e-05,0.16341291535045177
R05,1835086211,250,0.00010139459484222036,0.15958283894409683
R05,1835086212,250,-0.0016626741137102817,0.1593755882494965
R05,1835086213,250,0.0006773377418968223,0.17502716293015144
R05,1835086214,250,0.0009981254752284175,0.13568183564264472
R05,1835086215,250,0.0011634597855727789,0.15931946373788808
R05,1835086216,250,7.037992085013522e-05,0.18046763870617258
R05,1835086217,250,0.0006363806858385215,0.14885641090385177
R05,1835086218,250,0.0005570232402118531,0.15490095283129912
R05,1835086219,250,0.0007468473879700048,0.17935267603829635
R05,1835086220,250,0.0002208183529408383,0.15657712143740582
R05,1835086221,250,0.0009511334914708747,0.1667425068167875
R05,1835086222,250,2.0010494944760815e-05,0.14512542786724988
R05,1835086223,250,0.0005978585700074861,0.15789123786953263
R05,1835086224,250,-0.0004909097039603565,0.182470995170334
R05,1835086225,250,-0.0006217540485421993,0.12536343945557785
R05,1835086226,250,-0.0016481967252823249,0.17880866587981206
R05,1835086227,250,0.00016365516147802018,0.1569970924437401
R05,1835086228,250,-0.00040075719654026454,0.1718385319302326
R05,1835086229,250,-0.0008414326913253629,0.1562007647285373
R05,1835086230,250,-0.0005998725846491326,0.13485278545436108
R05,1835086231,250,-0.0006789555661191198,0.15154919918363002
R05,1835086232,250,-0.00200752488757774,0.16811972079315635
R05,1835086233,250,0.0031619937976394108,0.13731215430445606
R05,1835086234,250,0.0009599160345116164,0.18537685633250311
R05,1835086235,250,-0.00038360617789408427,0.18214510828307529
R05,1835086236,250,0.0010701550613876312,0.1377956523097153
R05,1835086237,250,0.00019444393273663384,0.17216197558359117
R05,1835086238,250,3.69144005180666e-05,0.14813481527243744
R10,1835086199,250,-0.0008450130587544216,0.3578296961083904
R10,1835086200,250,0.0009582647326482379,0.34609486433699066
R10,1835086201,250,-0.0010922229417137603,0.3632444368407189
R10,1835086202,250,0.001830297218559143,0.3776303485185582
R10,1835086203,250,-0.0025972928001443763,0.33961582906182586
R10,1835086204,250,0.002285753704552502,0.36096193280275407
R10,1835086205,250,2.141676458960129e-05,0.362986481067709
R10,1835086206,250,-0.00041326466830313624,0.3586942790141701
R10,1835086207,250,0.00026143025356743576,0.38489475694477193
R10,1835086208,250,-0.0011312242142915228,0.4140775577467778
R10,1835086209,250,0.0005577710154518179,0.3764753063417071
R10,1835086210,250,-0.00031743572928988063,0.38036047394629496
R10,1835086211,250,-0.0007058094450585388,0.3787055534544022
R10,1835086212,250,-0.0018593844862991654,0.339510675280967
R10,1835086213,250,0.0001151035728987071,0.36392618733076454
R10,1835086214,250,-0.0017596010679881405,0.34411811178133994
R10,1835086215,250,-0.0002469018441839439,0.36077074561333505
R10,1835086216,250,-0.0007293246150219094,0.3780577863086429
R10,1835086217,250,-0.000365479986787602,0.3220689396847041
R10,1835086218,250,-0.000289537798609679,0.34909399739612107
R10,1835086219,250,-0.0012125292157631278,0.37028296048542897
R10,1835086220,250,-0.0005038940475804914,0.3790479469742
R10,1835086221,250,0.0016146126797196673,0.3862180381588552
R10,1835086222,250,-0.000733597185706015,0.37887707373332086
R10,1835086223,250,0.00034823703738658904,0.3515062384347923
R10,1835086224,250,-0.0010123302144126448,0.38420042141324706
R10,1835086225,250,-0.0006234365877151906,0.34953669661949516
R10,1835086226,250,-0.0034333515105185223,0.3725335164908764
R10,1835086227,250,-0.0006561806893202809,0.3864660008921011
R10,1835086228,250,-5.3215700199920056e-05,0.39667565049263026
R10,1835086229,250,0.0002546315176865952,0.36504407236600717
R10,1835086230,250,2.9541803184673478e-05,0.2974021234831802
R10,1835086231,250,-0.00037276157545911335,0.38744189496772263
R10,1835086232,250,-0.0014629710499182488,0.368799830032425
R10,1835086233,250,0.003724901803107664,0.32332430992276734
R10,1835086234,250,3.374769369245412e-05,0.3753359840276114
R10,1835086235,250,-0.001064282695068428,0.3617678317504663
R10,1835086236,250,0.00010095598957127105,0.3678610066671164
R10,1835086237,250,-0.0016999112118788497,0.34417683605361254
R10,1835086238,250,-0.0006097711973986604,0.34618732335149366
R20,1835086199,250,-0.0020029296268002806,0.7776819702091893
R20,1835086200,250,-0.0006584152567979005,0.8483235696632974
R20,1835086201,250,-0.0025230921136031813,0.8154385401007085
R20,1835086202,250,-0.000993675248191638,0.7911523484191911
R20,1835086203,250,-0.0020298991023800527,0.7892402404448792
R20,1835086204,250,0.0010229140273820998,0.7851017226586976
R20,1835086205,250,-0.004757588942855502,0.7647368409957321
R20,1835086206,250,-0.001013422267666234,0.795386978208202
R20,1835086207,250,-0.0017235794264555918,0.7901749124144917
R20,1835086208,250,-0.0009039351193611172,0.8113263604931207
R20,1835086209,250,-0.003992215987561044,0.8227544250765486
R20,1835086210,250,-0.0016373988945846288,0.8006742469312569
R20,1835086211,250,-0.002618225726897884,0.7845496740527262
R20,1835086212,250,-0.0017873657424750814,0.7758414210589402
R20,1835086213,250,-0.0016943389075888015,0.8156702986972505
R20,1835086214,250,-0.0035906860462830525,0.791748174041227
R20,1835086215,250,-0.0018442130768006719,0.7869712307439493
R20,1835086216,250,-0.0024566785347695536,0.7877285047193843
R20,1835086217,250,-0.002388757602926509,0.7676506546218483
R20,1835086218,250,-0.002298510889703179,0.791941529090735
R20,1835086219,250,-0.003647925559635051,0.779986710902877
R20,1835086220,250,-0.002431059421291576,0.7909719394505681
R20,1835086221,250,-3.88789273321164e-05,0.784734626056129
R20,1835086222,250,-0.0021230249689300493,0.779108046618137
R20,1835086223,250,-0.001131147509124144,0.7779419114653405
R20,1835086224,250,-0.002484272622336073,0.7953244090017078
R20,1835086225,250,-0.0013295970619648166,0.762631597962754
R20,1835086226,250,-0.0020523947414752726,0.7734384384259247
R20,1835086227,250,-0.001753268149807739,0.8189452582945979
R20,1835086228,250,-5.7191479718918806e-05,0.8051272108093762
R20,1835086229,250,-0.001471341889098547,0.764744925843532
R20,1835086230,250,-0.0015966521349978966,0.7579592897087962
R20,1835086231,250,-0.0017112937957676922,0.818406706227969
R20,1835086232,250,-0.002494579496777083,0.8280553325291704
R20,1835086233,250,0.003790952413161193,0.7549962521061236
R20,1835086234,250,-0.00018995096635682617,0.7736304548622341
R20,1835086235,250,-0.003880666732345012,0.7936748845566407
R20,1835086236,250,-0.0013781765851072398,0.7818099614718832
R20,1835086237,250,-0.0009552804929957986,0.8086658348648225
R20,1835086238,250,-0.0019950773227907738,0.782629141445743
