absolute_resolution_multiplier,absolute_term_enabled,absolute_term_strength,attack_cost_model,attacker_capability,capability_ratio,cell_index,collapse_severity,committed_resolution_probability,defender_capability,defense_cost_model,defense_failed,derived_capability_ratio,effective_rank,elapsed_seconds,frontier_validator_count,gate,institution_validator_count,measured_rank,merge_rule,outputs_identical,parity_level,rank_axis_unchanged,record_type,replicate,resolution_probability,resolution_probability_difference,seed,two_dial_resolution_probability,validator_set_size
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0454e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,25,0.4,,452719572,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0531e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,26,0.4,,1391506402,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.0543e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,27,0.4,,2134182546,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0401e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,28,0.4,,2090139382,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0163e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,29,0.4,,801848390,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0283e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,30,0.4,,1916431876,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0027e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,31,0.4,,1014009250,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.936e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,32,0.4,,1788575874,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0463e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,33,0.4,,975834784,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0032e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,34,0.4,,1050324294,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.1214e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,35,0.4,,1862292537,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0082e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,36,0.4,,554652137,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0075e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,37,0.4,,1336989408,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0265e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,38,0.4,,806041391,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.033e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,39,0.4,,1835362616,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0051e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,40,0.4,,1938283266,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0151e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,41,0.4,,1092433347,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.955e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,42,0.4,,919765370,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.929e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,43,0.4,,555623535,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0158e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,44,0.4,,33658306,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.884e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,45,0.4,,99383374,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.852e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,46,0.4,,1528772451,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.859e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,47,0.4,,616321397,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0237e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,48,0.4,,184883927,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.016e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,49,0.4,,704342840,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.845e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,50,0.4,,116541799,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.004e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,51,0.4,,706444645,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.019e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,52,0.4,,729026478,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0231e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,53,0.4,,1312681140,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0165e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,54,0.4,,1998708640,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.101e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,55,0.4,,279613230,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0595e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,56,0.4,,866171426,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0138e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,57,0.4,,452105411,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0154e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,58,0.4,,375652088,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0055e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,59,0.4,,1429647665,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0314e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,60,0.4,,852085240,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0021e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,61,0.4,,1660172643,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.907e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,62,0.4,,249809704,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0091e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,63,0.4,,907246214,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.923e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,64,0.4,,494921975,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0116e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,65,0.4,,295611161,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0339e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,66,0.4,,293184889,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0046e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,67,0.4,,2096107072,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0135e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,68,0.4,,1453878079,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.981e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,69,0.4,,1418121000,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.861e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,70,0.4,,926414019,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.998e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,71,0.4,,1637720178,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0397e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,72,0.4,,725534266,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.904e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,73,0.4,,2120100351,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.897e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,74,0.4,,1637913617,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.898e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,75,0.4,,1642341744,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0006e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,76,0.4,,1828556235,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0025e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,77,0.4,,991204789,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.875e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,78,0.4,,1721733083,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.0091e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,79,0.4,,939182096,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0059e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,80,0.4,,1531880215,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.893e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,81,0.4,,1161433409,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0023e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,82,0.4,,1671694009,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.958e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,83,0.4,,215935455,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0183e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,84,0.4,,2026913414,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0085e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,85,0.4,,1798998221,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.764e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,86,0.4,,1688437029,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.98e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,87,0.4,,1434321988,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.003e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,88,0.4,,164167254,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.957e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,89,0.4,,500930357,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.955e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,90,0.4,,653934801,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0039e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,91,0.4,,9120627,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.786e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,92,0.4,,1837431749,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0057e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,93,0.4,,982645856,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0307e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,94,0.4,,428919305,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.955e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,95,0.4,,1636487586,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.818e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,96,0.4,,449413146,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.882e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,97,0.4,,637378590,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.815e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,98,0.4,,617715959,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.966e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,99,0.4,,1648380374,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.98e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,100,0.4,,810816214,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0022e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,101,0.4,,1249713532,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.78e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,102,0.4,,705091449,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.718e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,103,0.4,,1841764451,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.919e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,104,0.4,,1801835415,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.952e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,105,0.4,,1715336268,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.821e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,106,0.4,,735044089,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.86e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,107,0.4,,557546567,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.776e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,108,0.4,,363711108,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.009e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,109,0.4,,1784746120,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.882e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,110,0.4,,1988722153,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.961e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,111,0.4,,1964536256,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.984e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,112,0.4,,1544058708,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.919e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,113,0.4,,332845540,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,9.955e-06,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,114,0.4,,333942674,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,False,1.0,2,1.0405e-05,1,gate_2_collapse_control,1,2,threshold_connected_components,,0.316,,curve_run,115,0.4,,121657338,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.825e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,116,0.4,,1152752004,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.858e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,117,0.4,,177507242,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0037e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,118,0.4,,1074599658,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.942e-06,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,119,0.4,,1756240712,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0533e-05,1,gate_2_collapse_control,1,4,threshold_connected_components,,0.316,,curve_run,120,0.4,,727845889,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0284e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,121,0.4,,84036955,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.026e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,122,0.4,,855656868,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,9.979e-06,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,123,0.4,,26339067,,2
1.0,False,0.22163300225716118,linear,0.316,,,0.0,,0.316,pairwise_exact,True,1.0,2,1.0286e-05,1,gate_2_collapse_control,1,3,threshold_connected_components,,0.316,,curve_run,124,0.4,,775410934,,2
